Symbol,Open,High,Low,Last Traded Price,Change,%Change,Traded Volume(lacs),Traded Value(crs),52 Week High,52 Week Low,365 Days % Change,30 Days % Change
"BANKBARODA","143.95","145.80","141.50","144.30","0.70","0.49","78.42","112.76","206.65","128.10","-19.68","6.42"
"PNB","93.90","95.40","93.25","94.05","0.45","0.48","154.14","145.27","231.45","91.25","-39.26","-3.64"
"OIL","230.25","233.45","227.25","231.45","1.00","0.43","8.98","20.79","259.30","171.40","-28.66","-30.34"
"PFC","85.55","86.55","85.25","85.70","0.35","0.41","24.89","21.39","168.40","83.30","-44.92","-3.71"
"FEDERALBNK","96.95","98.30","95.80","97.20","0.40","0.41","73.82","71.63","127.65","87.30","5.02","6.87"
"DLF","210.60","214.55","209.00","211.60","0.85","0.40","48.55","102.90","273.85","153.00","22.95","-2.06"
"COLPAL","1,102.10","1,109.75","1,100.30","1,106.50","4.30","0.39","3.27","36.12","1,178.35","966.75","9.94","6.10"
"NHPC","28.10","28.50","27.85","28.20","0.10","0.36","47.95","13.51","34.50","25.50","-10.05","6.82"
"MANAPPURAM","118.90","120.40","118.10","119.60","0.40","0.34","14.21","16.93","126.40","82.10","23.17","14.78"
"AMBUJACEM","245.40","249.00","245.25","247.40","0.80","0.32","10.52","26.01","291.50","223.00","2.61","7.64"
